amount,merchant_risk,location_risk,velocity_flag,fraud
14310,0,0,0,0
2299,1,1,1,1
9522,1,1,0,1
13924,0,0,1,1
7410,1,0,1,1
237,0,0,0,0
13085,1,1,0,1
3529,1,0,1,1
2626,1,1,1,1
13920,0,0,0,0
13666,0,1,1,1
11038,0,0,0,0
13841,1,1,1,1
4647,0,1,1,1
4014,0,1,1,1
12327,1,0,1,1
2578,1,1,1,1
7224,1,0,0,1
14066,0,0,0,0
877,0,0,0,0
11532,0,1,1,1
14053,0,1,0,1
4137,1,1,1,1
10847,0,0,0,0
12161,0,1,0,1
8744,1,0,0,1
3798,0,1,0,0
8174,1,0,1,1
11677,0,0,0,0
1193,1,1,0,1
1578,0,1,0,0
216,1,1,0,1
11871,1,1,0,1
7047,1,1,1,1
377,1,1,0,1
6086,0,1,1,1
4493,0,1,1,1
10944,0,1,1,1
14937,0,0,0,0
13708,0,0,1,1
2288,1,0,1,1
3058,0,1,0,0
14925,1,0,1,1
1144,1,0,0,0
4057,1,1,0,1
6318,1,0,1,1
10209,0,0,0,0
11506,0,1,0,1
7013,1,1,0,1
954,0,1,0,0
2999,1,1,1,1
3385,0,0,1,0
12125,1,1,1,1
9788,0,0,1,1
1218,1,0,1,1
8584,0,0,0,0
14840,1,0,0,1
8332,0,0,0,0
10171,0,1,1,1
7477,0,0,1,1
10771,1,1,0,1
5375,1,1,1,1
13264,0,0,0,0
5374,0,1,1,1
7792,1,1,1,1
5881,0,0,1,1
4671,1,1,0,1
13592,0,0,1,1
10105,0,0,1,1
4928,0,1,0,0
12838,1,0,0,1
7082,0,1,1,1
3417,1,1,1,1
8273,1,0,0,1
566,1,1,0,1
7688,1,0,0,1
1899,0,0,0,0
13696,0,0,1,1
451,1,0,1,1
4559,1,1,1,1
5816,0,1,0,1
14811,1,1,0,1
235,1,1,1,1
11368,1,1,1,1
8590,1,1,0,1
10689,1,1,1,1
6618,0,0,1,1
5351,1,0,1,1
12402,0,1,0,1
12342,0,1,1,1
3474,1,0,0,0
14753,1,1,1,1
940,1,0,0,0
7103,0,0,1,1
8164,0,1,0,1
8484,0,1,1,1
9274,0,0,1,1
14964,1,1,1,1
2445,1,0,1,1
2321,1,1,0,1
14960,1,1,0,1
7798,1,1,0,1
8301,0,1,1,1
14144,0,0,1,1
10321,0,1,1,1
12975,0,0,0,0
2121,0,0,0,0
1153,0,1,1,1
14275,1,0,0,1
4855,1,1,1,1
11466,1,1,1,1
14454,0,0,1,1
10344,0,0,0,0
4956,0,0,1,0
11682,1,1,0,1
12137,1,0,1,1
14315,1,0,1,1
13626,0,1,0,1
2194,0,0,0,0
4442,0,1,1,1
911,1,0,1,1
14235,0,0,0,0
4653,0,0,1,0
8863,0,1,1,1
894,1,0,0,0
4987,1,0,0,0
7417,0,1,0,1
11197,1,0,1,1
11845,0,0,0,0
5461,1,1,1,1
11797,0,1,1,1
506,1,1,0,1
13231,1,0,1,1
2018,1,1,0,1
10931,0,0,0,0
7494,1,0,0,1
14714,1,1,1,1
7633,1,1,1,1
952,0,1,1,1
3631,0,0,0,0
7503,1,0,1,1
12275,1,1,1,1
12460,1,0,1,1
8631,1,0,0,1
10527,0,1,1,1
11744,1,0,1,1
14958,1,0,0,1
3184,1,1,0,1
7929,0,0,0,0
11086,0,1,1,1
8168,1,0,0,1
8932,1,1,0,1
7848,1,0,0,1
2195,0,1,1,1
3055,0,0,0,0
2750,1,1,0,1
7961,0,1,1,1
5007,0,1,0,1
11584,0,0,0,0
9334,0,1,0,1
14971,0,1,1,1
9933,0,1,1,1
3860,0,0,1,0
6741,0,0,1,1
9400,1,0,0,1
12432,0,1,1,1
12024,0,1,0,1
4334,0,1,1,1
7508,0,1,1,1
8829,1,0,0,1
4194,1,0,1,1
8030,1,1,0,1
12200,0,0,1,1
12295,1,1,1,1
8402,0,1,1,1
14642,0,1,1,1
5561,1,1,1,1
148,1,1,0,1
9804,0,0,0,0
4830,0,1,0,0
7053,1,0,0,1
3908,1,0,0,0
2479,1,1,0,1
8266,1,1,1,1
9574,0,0,1,1
9749,1,1,0,1
9944,1,0,1,1
7639,0,0,0,0
14660,0,0,1,1
12072,1,0,0,1
8480,0,1,0,1
7731,1,1,0,1
9533,1,1,0,1
11655,1,1,1,1
8662,0,1,0,1
10121,0,1,1,1
7009,0,1,0,1
5830,0,1,1,1
9951,0,0,1,1
924,1,1,1,1
6354,0,1,0,1
1317,0,0,0,0
14339,0,0,1,1
2078,0,0,0,0
5991,0,0,0,0
13740,0,0,0,0
4193,0,1,1,1
1453,0,0,1,0
5578,1,0,1,1
11423,1,0,1,1
7110,0,1,1,1
1791,0,1,1,1
5333,0,0,0,0
439,1,1,0,1
14484,0,1,1,1
4652,0,0,0,0
5613,0,1,1,1
1577,1,0,1,1
5858,0,1,0,1
14413,0,0,0,0
13593,0,0,1,1
14793,0,1,0,1
2936,1,0,0,0
12559,1,1,1,1
11707,0,1,1,1
13656,1,0,1,1
4027,0,0,1,0
655,0,0,1,0
12592,0,0,1,1
4626,1,1,1,1
9006,1,0,0,1
